Points,Local,Goals,xG,Shots on target,Passes ,Pass %,Possession %,Losses ,Recoveries ,Duels won %,Penalty area entries (runs / crosses),Conceded goals,Shots against / on target,Aerial duels won %,Forward passes,Back passes ,% of all Passes Forward ,% of all passes Back,
0,0,4,1.9,8,431,87.2,44.3,89,89,43.2,18,0,10,48.2,134,71,0.3,0.2,
0,1,0,0.9,4,445,80.9,49.1,101,79,46.8,33,2,8,36.4,164,50,0.4,0.1,
3,0,2,1.1,7,379,84.4,37.8,93,73,45.2,11,0,19,39.1,137,69,0.4,0.2,
1,1,1,1.3,2,428,80.4,47.1,122,85,42.1,30,1,13,43.8,159,69,0.4,0.2,
3,0,2,1.7,8,266,79.7,29.9,95,80,43.2,19,1,16,39.3,112,42,0.4,0.2,
0,1,1,0.6,3,660,85.3,68.9,125,89,44.9,36,3,7,47.2,221,103,0.3,0.2,
0,0,0,0.9,3,604,88.6,56.0,90,72,50.7,25,2,12,50.0,182,110,0.3,0.2,
3,0,1,0.7,2,386,83.9,39.8,95,69,41.9,12,0,18,40.9,127,69,0.3,0.2,
0,1,0,0.4,0,390,87.7,37.5,86,68,39.3,4,4,11,30.0,99,69,0.3,0.2,
0,1,1,1.4,1,551,87.5,58.7,104,81,48.7,39,2,12,43.6,183,84,0.3,0.2,
1,0,2,0.4,3,531,85.5,54.0,105,80,45.9,14,2,16,83.3,170,89,0.3,0.2,
0,0,0,1.3,0,396,81.6,46.2,83,80,48.0,25,2,11,47.0,147,76,0.4,0.2,
1,1,0,3.3,5,411,82.5,49.2,134,80,48.0,25,1,15,47.0,147,76,0.4,0.2,
1,1,2,1.6,6,318,84.6,41.0,83,76,44.5,28,3,14,20.0,142,62,0.4,0.2,
3,0,3,1.5,5,336,80.7,38.0,96,106,51.8,24,0,23,32.6,141,73,0.4,0.2,
0,1,0,1.7,3,483,87.8,52.8,84,71,50.0,22,2,16,66.7,105,59,0.2,0.1,
0,0,0,1.1,2,584,86.3,66.2,105,62,53.8,8,1,18,62.2,124,58,0.2,0.1,
1,0,1,1.5,6,660,89.2,60.1,97,74,44.8,27,3,16,75.0,138,66,0.2,0.1,
0,1,0,1.5,1,639,86.7,60.2,95,92,54.8,26,2,11,68.6,194,91,0.3,0.1,
0,0,0,0.4,2,477,84.9,51.3,99,81,48.9,44,1,8,48.4,186,111,0.4,0.2,
3,0,2,2.6,7,427,85.5,53.4,95,89,53.7,47,1,9,45.5,190,113,0.4,0.3,
3,1,3,2.5,6,571,89.1,58.9,100,72,46.7,24,2,10,43.5,151,72,0.3,0.1,
3,1,2,0.7,2,272,72.8,34.2,84,94,49.6,22,1,12,39.0,144,78,0.5,0.3,
0,1,1,0.9,3,561,88.2,60.8,98,91,53.2,32,0,8,54.8,185,105,0.3,0.2,
0,0,0,0.5,3,489,84.1,51.6,119,80,48.0,25,1,12,47.0,147,77,0.3,0.2,
3,1,3,2.1,4,389,79.2,50.8,107,80,48.0,25,2,14,47.0,147,75,0.4,0.2,
3,0,3,1.4,8,537,84.5,59.1,90,68,47.9,10,1,11,39.3,110,39,0.2,0.1,
1,1,1,1.0,2,426,80.5,47.2,141,72,43.4,19,3,15,35.5,175,112,0.4,0.3,
3,1,3,2.3,4,488,83.8,52.7,123,80,45.4,14,1,13,44.7,181,100,0.4,0.2,
0,0,1,1.4,3,392,81.1,43.7,136,100,49.6,34,0,8,56.3,153,67,0.4,0.2,
0,0,1,0.7,4,480,81.9,52.4,124,84,49.5,19,1,8,52.4,179,101,0.4,0.2,
1,1,1,1.3,2,463,83.2,53.3,145,96,41.8,30,1,15,46.4,163,56,0.4,0.1,
3,1,3,4.6,9,436,81.7,55.4,113,87,43.8,23,2,8,34.2,168,77,0.4,0.2,
3,0,1,1.2,4,323,83.9,35.2,109,106,49.8,26,2,11,41.7,148,65,0.5,0.2,
3,1,2,3.8,8,709,89.8,68.2,108,89,47.6,12,2,14,56.5,156,70,0.2,0.1,
3,1,5,2.6,12,737,90.8,64.2,94,93,45.1,26,1,13,55.1,161,80,0.2,0.1,
1,0,2,1.9,4,469,87.2,45.7,87,87,44.1,43,0,9,33.3,148,67,0.3,0.1,
3,1,1,2.2,7,746,90.1,66.5,100,62,47.8,15,0,15,46.9,127,53,0.2,0.1,
3,0,3,2.4,6,531,88.5,52.1,86,80,49.0,25,3,13,47.0,130,76,0.2,0.1,
0,0,1,0.9,3,723,88.1,75.0,113,80,47.0,25,0,13,47.0,160,76,0.2,0.1,
3,1,5,2.0,5,594,90.7,62.2,76,82,55.9,40,1,8,53.7,199,101,0.3,0.2,
3,0,1,2.0,4,583,87.1,55.1,113,80,48.5,30,0,3,57.9,215,128,0.4,0.2,
3,1,1,2.6,10,576,86.1,61.0,105,71,42.1,25,2,15,46.4,143,83,0.2,0.1,
3,0,4,1.8,9,759,90.7,62.5,83,91,53.1,31,0,5,48.8,231,119,0.3,0.2,
3,1,2,2.5,8,529,84.1,55.7,108,82,46.1,18,0,8,45.2,175,94,0.3,0.2,
3,0,5,3.4,5,444,86.5,47.5,92,62,53.6,34,3,10,68.0,212,129,0.5,0.3,
0,0,0,0.2,1,360,86.1,35.9,99,68,51.1,30,0,7,60.0,168,94,0.5,0.3,
3,0,2,1.2,5,485,86.8,50.9,100,85,54.6,19,0,7,56.8,191,106,0.4,0.2,
1,1,1,0.8,5,397,83.6,41.4,98,81,52.6,27,0,14,55.6,193,98,0.5,0.2,
0,0,1,1.7,6,493,88.8,44.0,85,60,57.2,28,0,5,50.0,226,152,0.5,0.3,
3,1,5,2.7,6,601,87.7,58.4,85,92,54.1,37,0,6,50.0,181,104,0.3,0.2,
0,0,2,0.6,3,450,84.2,47.4,118,62,46.7,33,1,12,38.5,162,70,0.4,0.2,
0,1,2,1.3,5,642,86.0,63.7,118,80,46.0,25,2,11,46.0,154,76,0.2,0.1,
3,0,2,0.9,3,584,86.8,56.1,109,80,45.0,25,1,12,47.0,151,76,0.3,0.1,
0,1,0,0.6,1,551,88.8,54.7,100,68,48.0,4,5,19,31.6,116,70,0.2,0.1,
0,1,1,1.7,3,407,80.8,46.6,101,74,49.3,19,0,13,60.6,151,92,0.4,0.2,
0,0,1,1.0,6,429,83.0,37.6,95,79,47.1,25,1,7,46.7,144,50,0.3,0.1,
0,1,0,0.6,4,493,86.0,55.7,105,68,42.5,34,3,19,33.3,145,73,0.3,0.1,
0,0,1,1.5,3,556,87.6,56.9,100,71,51.1,21,2,8,51.2,175,96,0.3,0.2,
1,0,1,0.8,2,559,87.1,58.6,107,81,49.4,15,3,15,39.5,135,78,0.2,0.1,
0,1,1,1.1,5,454,83.3,53.6,115,89,52.1,24,3,18,47.5,167,89,0.4,0.2,
0,0,2,1.3,6,391,84.1,42.6,85,80,48.2,16,1,17,43.2,175,116,0.4,0.3,
3,0,2,1.0,3,281,82.2,32.1,98,73,44.4,23,1,24,18.5,155,105,0.6,0.4,
3,1,4,1.1,9,476,79.8,54.7,120,71,47.8,20,2,20,51.2,124,66,0.3,0.1,
1,0,1,2.5,6,404,84.4,51.0,91,65,38.5,12,3,13,45.5,134,77,0.3,0.2,
3,1,1,0.6,1,501,84.8,51.6,101,80,48.0,25,0,15,47.0,149,77,0.3,0.2,
0,0,0,0.7,2,304,75.7,44.6,120,80,49.0,25,2,12,44.0,154,75,0.5,0.2,
0,1,1,1.1,2,431,84.7,52.5,102,77,50.5,29,4,14,44.4,158,69,0.4,0.2,
0,0,2,0.7,4,426,82.6,46.8,110,87,42.5,30,2,6,39.1,161,87,0.4,0.2,
3,1,1,1.0,5,410,77.6,48.5,117,75,47.9,26,1,13,45.0,159,101,0.4,0.2,
1,0,2,2.2,6,510,86.3,59.0,84,76,47.1,33,2,13,70.4,151,90,0.3,0.2,
0,1,0,0.9,0,416,84.6,47.9,94,55,42.5,17,6,13,45.8,135,60,0.3,0.1,
0,0,1,0.9,2,604,85.3,63.1,130,73,44.1,11,1,16,30.8,98,50,0.2,0.1,
3,0,3,2.1,10,402,87.8,43.8,88,71,49.4,21,2,10,36.1,170,89,0.4,0.2,
0,1,0,1.4,3,467,82.2,49.6,126,64,42.2,19,1,12,32.5,128,61,0.3,0.1,
1,1,1,0.8,4,369,83.5,49.0,88,74,51.9,22,0,10,36.7,168,91,0.5,0.2,
3,0,1,1.9,7,391,85.9,45.3,97,81,52.0,11,3,23,58.3,125,56,0.3,0.1,
0,0,0,2.0,6,667,87.4,76.2,108,74,50.6,29,5,19,57.7,123,86,0.2,0.1,
0,1,1,0.8,2,390,86.2,44.2,90,80,47.0,25,1,13,46.0,145,75,0.4,0.2,
0,0,1,2.2,2,602,86.5,65.8,100,86,49.2,24,2,4,57.1,170,97,0.3,0.2,
0,0,0,1.6,4,505,84.2,56.2,107,90,55.9,30,3,16,53.6,152,69,0.3,0.1,
1,1,2,2.5,4,464,87.7,54.3,83,74,55.3,34,2,14,50.0,144,73,0.3,0.2,
0,0,0,3.6,7,616,87.2,69.0,100,95,49.2,54,3,5,51.6,189,81,0.3,0.1,
3,1,3,1.9,7,498,89.2,56.0,76,69,54.6,26,1,16,57.1,157,96,0.3,0.2,
