Local;Points ;Goals;xG;Shots;Shots on target;Shots on target %;Passes;Passes completed;Passes %;Possession %;Losses ;Recoveries;Duels ;Duels won;Duels won %;Conceded goals;Shots against;Shot against on target ;Aerial duels;Aerial duels  won;Aerial duels won %;Forward passes;Forward passes accurate;Forward passes accurate %;Back passes;Back passes accurate ;Back passes accurate %;Lateral passes;Lateral passes accurate ;Lateral passes accurate %;Average passes per possession
Away;0;1;1.64;14;4;28.57;436;379;86.93;42.49;81;58;179;91;50.84;4;21;7;9;4;44.44;131;104;79.39;48;47;97.92;186;168;90.32;4.95
Home;3;5;3.13;27;12;44.44;451;382;84.7;53.23;100;90;219;126;57.53;2;11;4;32;22;68.75;152;118;77.63;66;64;96.97;168;150;89.29;4.18
Away;0;1;0.7;10;3;30;360;306;85;38.34;87;55;183;81;44.26;2;14;5;10;7;70;134;100;74.63;60;59;98.33;103;92;89.32;4.14
Away;0;1;0.83;15;4;26.67;609;545;89.49;65.47;82;73;194;95;48.97;6;13;9;23;8;34.78;161;137;85.09;71;71;100;265;242;91.32;6.15
Home;0;1;2.13;18;4;22.22;559;479;85.69;62.01;103;84;212;88;41.51;3;7;5;37;14;37.84;175;141;80.57;80;74;92.5;218;190;87.16;5.76
Home ;3;6;2.2;13;10;76.92;622;560;90.03;57.38;88;65;153;85;55.56;2;11;6;24;11;45.83;186;152;81.72;107;104;97.2;238;219;92.02;6.62
Away;0;0;0.42;7;2;28.57;358;311;86.87;37.85;80;51;178;81;45.51;5;12;6;15;6;40;123;97;78.86;72;70;97.22;91;84;92.31;4.07
Home;3;2;2.09;12;4;33.33;478;420;87.87;44.04;87;61;205;93;45.37;0;11;3;28;13;46.43;164;126;76.83;87;85;97.7;155;145;93.55;5.43
Home;3;2;0.43;6;2;33.33;461;379;82.21;48.95;117;99;212;109;51.42;0;14;2;35;17;48.57;166;114;68.67;73;69;94.52;153;138;90.2;4.19
Away;1;1;0.58;13;3;23.08;420;341;81.19;46.68;122;103;222;109;49.1;1;7;3;49;17;34.69;142;100;70.42;52;49;94.23;142;122;85.92;3.68
Away;1;2;1.44;17;7;41.18;510;462;90.59;49.04;95;85;226;113;50;2;20;7;35;17;48.57;146;121;82.88;74;70;94.59;197;186;94.42;5.1
Home;3;1;1.24;12;4;33.33;400;327;81.75;47.16;120;95;234;110;47.01;0;15;5;31;21;67.74;149;102;68.46;80;76;95;130;114;87.69;3.57
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
