Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Casa Ryda,ES,Smart TV,0,ama,Amanda Knox,play,title_results,2024-05-01 12:46:08
Casa Ryda,ES,Smart TV,0,ama,Amanda Knox,select,title_results,2024-05-01 12:46:05
Casa Ryda,ES,HTML 5,0,brookl,"Brooklyn Nine-Nine: Season 1: ""The Tagger""",play,title_results,2024-04-12 20:43:50
Casa Ryda,ES,Smart TV,0,wim hof,Story of…Tea,play,title_results,2024-03-17 12:20:59
Casa Ryda,ES,Smart TV,0,wim hof,Story of…Tea,select,title_results,2024-03-17 12:20:58
Casa Ryda,ES,Smart TV,0,wim hof,The Deepest Breath,play,title_results,2024-03-17 12:20:40
Casa Ryda,ES,Smart TV,0,wim hof,The Deepest Breath,select,title_results,2024-03-17 12:20:36
Casa Ryda,ES,Smart TV,0,space,Solar System: The Secrets Of The Universe,play,title_results,2024-03-12 13:07:54
Casa Ryda,ES,Smart TV,0,space,Solar System: The Secrets Of The Universe,select,title_results,2024-03-12 13:07:52
Casa Ryda,ES,Smart TV,0,space,Black Holes | The Edge of All We Know,play,title_results,2024-03-12 13:07:36
Casa Ryda,ES,Smart TV,0,space,Black Holes | The Edge of All We Know,select,title_results,2024-03-12 13:07:33
Casa Ryda,ES,Smart TV,0,space,,select,title_results,2024-03-12 13:06:50
Casa Ryda,ES,iPhone,0,football,,select,title_results,2024-02-25 00:47:35
Casa Ryda,ES,Smart TV,0,love,,play,title_results,2024-02-19 15:48:50
Casa Ryda,ES,Smart TV,0,love,,select,title_results,2024-02-19 15:48:48
Casa Ryda,ES,Smart TV,0,love,,select,title_results,2024-02-19 15:48:39
Casa Ryda,ES,Smart TV,0,love,,select,title_results,2024-02-19 15:48:33
Casa Ryda,ES,Smart TV,0,love,,select,title_results,2024-02-19 15:48:28
Casa Ryda,ES,Smart TV,0,love,,play,title_results,2024-02-19 15:48:21
Casa Ryda,ES,Smart TV,0,love,,select,title_results,2024-02-19 15:48:18
Casa Ryda,ES,Smart TV,0,love,,select,title_results,2024-02-19 15:48:11
Casa Ryda,ES,Smart TV,0,sund,,play,title_results,2024-02-18 10:47:06
Casa Ryda,ES,Smart TV,0,sund,,select,title_results,2024-02-18 10:47:03
Casa Ryda,ES,Smart TV,0,lo,,play,title_results,2024-02-14 13:58:36
Casa Ryda,ES,Smart TV,0,lo,,play,title_results,2024-02-14 13:58:19
Casa Ryda,ES,Smart TV,0,lo,,select,title_results,2024-02-14 13:58:17
Casa Ryda,ES,HTML 5,0,crazy ,"Crazy, Stupid, Love.",play,title_results,2024-02-06 20:21:50
Casa Ryda,ES,HTML 5,0,rom com,,select,suggestion_results,2024-02-06 20:20:36
Casa Ryda,ES,Smart TV,0,os,The Pianist,play,suggestion_results,2024-01-31 17:57:01
Casa Ryda,ES,Smart TV,0,os,The Pianist,select,suggestion_results,2024-01-31 17:56:59
Casa Ryda,ES,Smart TV,0,os,El Conde,play,suggestion_results,2024-01-31 17:56:12
Casa Ryda,ES,Smart TV,0,os,El Conde,select,suggestion_results,2024-01-31 17:56:09
Casa Ryda,ES,Smart TV,0,os,,select,suggestion_results,2024-01-31 17:55:59
Casa Ryda,ES,Smart TV,0,os,The After,play,suggestion_results,2024-01-31 17:52:57
Casa Ryda,ES,Smart TV,0,os,The After,select,suggestion_results,2024-01-31 17:52:55
Casa Ryda,ES,Smart TV,0,os,American Symphony,play,suggestion_results,2024-01-31 17:52:33
Casa Ryda,ES,Smart TV,0,os,American Symphony,select,suggestion_results,2024-01-31 17:52:31
Casa Ryda,ES,Smart TV,0,os,Maestro,play,suggestion_results,2024-01-31 17:52:15
Casa Ryda,ES,Smart TV,0,os,Maestro,select,suggestion_results,2024-01-31 17:52:12
Casa Ryda,ES,Smart TV,0,os,,select,suggestion_results,2024-01-31 17:52:01
Casa Ryda,ES,Smart TV,0,os,,select,suggestion_results,2024-01-31 17:51:45
Casa Ryda,ES,HTML 5,0,love is blin,,add,title_results,2024-01-21 21:48:13
Casa Ryda,ES,Smart TV,0,last,,play,title_results,2024-01-03 09:44:56
Casa Ryda,ES,Smart TV,0,last,,select,title_results,2024-01-03 09:44:53
Casa Ryda,ES,Smart TV,0,american fo,,play,title_results,2024-01-03 09:44:13
Casa Ryda,ES,Smart TV,0,american fo,,select,title_results,2024-01-03 09:44:10
Casa Ryda,ES,HTML 5,0,pesa,,play,title_results,2024-01-02 21:46:58
Casa Ryda,ES,iPhone,0,despi,The Croods,select,title_results,2024-01-02 16:41:18
Casa Ryda,ES,Smart TV,0,,,select,suggestion_results,2023-12-31 15:37:05
Casa Ryda,ES,HTML 5,0,sommaren med,Sommaren med Göran,play,title_results,2023-12-29 20:38:16
Casa Ryda,ES,HTML 5,0,sommaren med göran,Sommaren med Göran,play,title_results,2023-12-29 20:29:39
Casa Ryda,ES,Smart TV,0,,,play,prequery_results,2023-12-17 14:47:36
Casa Ryda,ES,Smart TV,0,,,select,prequery_results,2023-12-17 14:47:33
Casa Ryda,ES,HTML 5,0,bonu,"Bonus Family: Season 1: ""Episode 1""",play,title_results,2023-12-13 20:35:45
Casa Ryda,ES,Smart TV,0,ba,Batman Begins,play,title_results,2023-12-13 13:16:55
Casa Ryda,ES,Smart TV,0,ba,Batman Begins,select,title_results,2023-12-13 13:16:52
Casa Ryda,ES,HTML 5,0,theo von,Theo Von: Regular People,play,title_results,2023-12-11 22:46:11
Casa Ryda,ES,Smart TV,0,swam,,play,title_results,2023-12-11 09:07:03
Casa Ryda,ES,Smart TV,0,swam,,select,title_results,2023-12-11 09:06:53
Casa Ryda,ES,HTML 5,0,swedish,"Love & Anarchy: Season 1: ""How It All Began""",play,title_results,2023-12-08 20:13:32
Casa Ryda,ES,HTML 5,0,swedish comedy,,select,suggestion_results,2023-12-08 20:11:33
Casa Ryda,ES,HTML 5,0,swedish movie,,select,suggestion_results,2023-12-08 20:11:20
Casa Ryda,ES,Smart TV,0,big,,play,title_results,2023-12-07 13:17:59
Casa Ryda,ES,Smart TV,0,big,,play,title_results,2023-12-07 13:17:38
Casa Ryda,ES,Smart TV,0,big,,select,title_results,2023-12-07 13:17:32
Casa Ryda,ES,Smart TV,0,dica,Don't Look Up,play,suggestion_results,2023-12-06 14:04:04
Casa Ryda,ES,Smart TV,0,dica,Don't Look Up,select,suggestion_results,2023-12-06 14:04:02
Casa Ryda,ES,Smart TV,0,dica,,select,suggestion_results,2023-12-06 14:03:37
Casa Ryda,ES,Smart TV,0,dic,Snatch,play,suggestion_results,2023-12-04 16:56:35
