Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Casa Ryda,2024-06-29 18:49:26,00:00:11,Autoplayed: user action: None; ,Main Character Clip 4: A Family Affair,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:11,00:00:11,ES (Spain)
Casa Ryda,2024-06-29 18:46:58,00:50:12,,A Family Affair,,Netflix Chrome MAC (Cadmium) HTML 5,00:50:12,00:50:12,ES (Spain)
Casa Ryda,2024-06-25 18:59:18,00:01:13,Autoplayed: user action: None; ,Season 1 Clip 21: Kaulitz & Kaulitz,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:00,00:00:00,ES (Spain)
Casa Ryda,2024-06-24 19:33:17,00:00:09,Autoplayed: user action: None; ,Season 1 Main Character Intro Clip: Dear Child,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:09,00:00:09,ES (Spain)
Casa Ryda,2024-06-24 13:54:30,00:00:06,Autoplayed: user action: None; ,Evil Dead Rise_hook_04_16x9,HOOK,iPhone 12 Pro Max,00:00:06,00:00:06,ES (Spain)
Casa Ryda,2024-06-24 13:54:20,00:00:05,Autoplayed: user action: None; ,High Context Clip 5: Outstanding: A Comedy Revolution,HOOK,iPhone 12 Pro Max,00:00:05,00:00:05,ES (Spain)
Casa Ryda,2024-06-24 13:54:09,00:00:04,Autoplayed: user action: None; ,Emma _hook_primary_16x9,HOOK,iPhone 12 Pro Max,00:00:04,00:00:04,ES (Spain)
Casa Ryda,2024-06-23 12:46:31,00:01:33,Autoplayed: user action: None; ,Moment of High Emotion Clip 2: The Accidental Twins,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:00,00:00:00,ES (Spain)
Casa Ryda,2024-06-23 11:55:03,00:39:30,,"Ashley Madison: Sex, Lies & Scandal: Season 1: Live in truth (Episode 3)",,Netflix Chrome MAC (Cadmium) HTML 5,00:47:32,00:47:32,ES (Spain)
Casa Ryda,2024-06-23 11:01:58,00:14:49,,"Ashley Madison: Sex, Lies & Scandal: Season 1: Live in truth (Episode 3)",,Netflix Chrome MAC (Cadmium) HTML 5,00:15:02,Not latest view,ES (Spain)
Casa Ryda,2024-06-23 09:38:02,00:51:45,,"Ashley Madison: Sex, Lies & Scandal: Season 1: We got hacked! (Episode 2)",,Netflix Chrome MAC (Cadmium) HTML 5,00:51:23,00:51:23,ES (Spain)
Casa Ryda,2024-06-23 08:41:03,00:51:22,,"Ashley Madison: Sex, Lies & Scandal: Season 1: Life’s short, have an affair (Episode 1)",,Netflix Chrome MAC (Cadmium) HTML 5,00:51:22,00:51:22,ES (Spain)
Casa Ryda,2024-06-23 08:40:51,00:00:04,Autoplayed: user action: None; ,"Season 1 Trailer: Ashley Madison: Sex, Lies & Scandal",TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,ES (Spain)
Casa Ryda,2024-06-23 08:40:17,00:00:04,Autoplayed: user action: None; ,Triviaverse_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,ES (Spain)
Casa Ryda,2024-06-22 20:36:25,00:00:30,Autoplayed: user action: None; ,Supporting Character Clip: Inheritance,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:30,00:00:30,ES (Spain)
Casa Ryda,2024-06-22 14:07:35,00:52:05,,Perfect Match: Season 2: Perfectly Ever After (Episode 10),,iPhone 12 Pro Max,01:42:46,01:42:46,ES (Spain)
Casa Ryda,2024-06-22 08:39:54,00:03:16,,Perfect Match: Season 2: Perfectly Ever After (Episode 10),,iPhone 12 Pro Max,01:42:56,Not latest view,ES (Spain)
Casa Ryda,2024-06-22 07:49:53,00:04:19,,Perfect Match: Season 2: Perfectly Ever After (Episode 10),,Netflix Chrome MAC (Cadmium) HTML 5,01:40:26,Not latest view,ES (Spain)
Casa Ryda,2024-06-21 22:21:29,00:08:42,,Perfect Match: Season 2: Perfectly Ever After (Episode 10),,Netflix Chrome MAC (Cadmium) HTML 5,00:09:24,Not latest view,ES (Spain)
Casa Ryda,2024-06-20 20:39:29,00:48:15,,Perfect Match: Season 2: To Tell the Truth (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,00:48:19,00:48:19,ES (Spain)
Casa Ryda,2024-06-20 20:08:43,00:20:19,,"Perfect Match: Season 2: He Said, She Said (Episode 8)",,Netflix Chrome MAC (Cadmium) HTML 5,00:48:42,00:48:42,ES (Spain)
Casa Ryda,2024-06-20 20:08:14,00:00:25,,Perfect Match: Season 2: To Tell the Truth (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,00:09:03,Not latest view,ES (Spain)
Casa Ryda,2024-06-20 20:07:52,00:00:05,Autoplayed: user action: None; ,Season 4 Main Character Clip 2: Love Is Blind: Brazil,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,00:00:05,ES (Spain)
Casa Ryda,2024-06-18 22:39:50,00:07:26,,Perfect Match: Season 2: To Tell the Truth (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,00:08:38,Not latest view,ES (Spain)
